,Laptop Brand,Price,Series,Model,Utility,Device Type,OS,Dimensions,Weight,Warranty,Type,Touch,Size,Resolution,PPI,Anti Glare Screen,Features,Ethernet,WiFi,Bluetooth,USB Ports,HDMI,Card Reader,Microphone In,Headphone Jack,Camera,Keyboard,Keyboard Backlit,Touchpad,Inbuilt Microphone,Speakers,Sound,Optical Drive,Processor,Speed,Cache,Brand,Generation,GPU,Dedicated Memory,RAM,RAM Bus Speed,Maximum RAM Supported,Solid State Drive,SSD Interface,Battery,Included Software,Sales Package,Other Features,Thunderbolt,Fingerprint Sensor,Security Lock Port,RAM Slots,Chipset,Hard Disk Capacity,Battery Backup,Aspect Ratio,Adapter Type,Hard Disk Speed,Country of Origin,Refresh Rate,USB Port Details,Battery Details,Other Ports,Optane Memory,Max SSD Supported,Display Port,Micro SD Card Reader,Hard Disk Interface,Rear Camera,GPU Clock Speed,VGA
309,HP,"₹1,13,680",Ryzen 7 ,5800H,Gaming,Netbook,"Windows 11 Home, Windows 11 Home (64-bit)",369 x 245 x 22.5 mm,2.32 kg,1 year Onsite Warranty,"Full HD, 144 Hz, 7 ms response time, IPS, micro-edge, Low Blue Light, Brightness: 300 nits, 137 ppi, Color Gamut: 100% Srgb",No,16.1 inches,1920 x 1080 pixels,~ 137,Yes,,Integrated 10/100/1000 GbE LAN,Intel Wi-Fi AX210 (2x2),v5.2,"1 x USB Type-C, 2 x USB 2.0",1 x HDMI 2.1 Port,,Yes,Yes,Yes,"Full-size, 4-zone RGB backlit, mica silver keyboard, Yes",Yes,Yes,Built-in Dual Array Microphones,Built-in Dual Speakers,Audio by Bang & Olufsen,No,AMD Ryzen 7 ,"3.2 GHz, Octa Core Turbo Boost Upto 4.4 GHz",16 MB,AMD,5th Gen,AMD Radeon RX 6600M,8 GB,16 GB DDR4,,,1 TB,,6 Cell Battery,"Microsoft Office Home & Student 2019, HP Documentation, HP e-service, HP BIOS recovery, HP SSRM, HP Smart, HP Jumpstarts","Laptop, Power Adaptor, User Guide, Warranty Documents","26-Key Rollover Anti-Ghosting Key technology, 83 Wh Li-ion polymer battery",,,,2,,,,,,,,,,,,,,,,,,,
310,Dell,"₹97,500",Core i5,11400H,"Gaming, Performance",Netbook,Windows 11 (64-bit),357 x 272 x 21 mm,2.44 kg,1 year Warranty,LED,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,"Brightness: 250 nits, 45% NTSC, 120 Hz Refresh Rate
",Available,IEEE 802.11a/b/g/n/ac/ax,v5.1,"1 x USB 3.0, 2 x USB 2.0",1 x HDMI Port,,Yes,Yes,Yes,"English International Orange, Yes",Yes,Yes,Yes,Stereo Speakers,,No,Intel Core i5,"2.2 GHz, Hexa Core Turbo Boost Upto 4.5 GHz",12 MB,NVIDIA,11th Gen,NVIDIA GeForce GTX 3050 Ti,GDDR6 4 GB,16 GB DDR4,2933 MHz,Upto 32 GB,512 GB,,3 Cell Battery,,"Laptop, Battery, Adapter, Cables and User Manuals",,,,,2,,,Upto 6 hours,16:09,,,,,,,,,,,,,,,
311,Lenovo,"₹78,990",Ryzen 7 ,5800H,Gaming,Netbook,Windows 11 Home (64-bit),359.6 x 251.9 x 24.2 mm,,1 year Warranty,FHD IPS ,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,"250nits, 120Hz, 45% NTSC, DC dimmer",100/1000M,"11ac, 2x2",v5,"2 x USB 3.0, 1 x USB 2.0",1 x HDMI 2.0 Port,,Yes,Yes,Yes,"White Backlit, English, Yes",Yes,Yes,Built-in Dual Array Microphones,Built-in Dual Stereo Speakers,,No,AMD Ryzen 7 ,"3.2 GHz, Octa Core Turbo Boost Upto 4.4 GHz",16 MB,NVIDIA,5th Gen,NVIDIA GeForce RTX 3050,GDDR6 4 GB,16 GB DDR4,,,512 GB,,,Office Home and Student 2021,"Laptop, battery, adapter, cables and user manuals",,,,,,,,Upto 5 hours,,,,,,,,,,,,,,,,
312,Dell,"₹88,500",Ryzen 7 ,5800H,Gaming,Netbook,Windows 11 Home (64-bit),357 x 272 x 26.9 mm,2.57 kg,1 year Warranty,Full HD IPS Narrow ,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,120Hz 250 nits 45%,,Killer Wi-Fi 6 AX1650 (2x2),v5,"1 x USB 3.0, 2 x USB 2.0",1 x HDMI 2.0 Port,1x SD Card Slot,Yes,Yes,Yes,"English International Orange, Yes",Yes,Yes,Yes,Yes,Nahimic 3D Audio,No,AMD Ryzen 7 ,"3.2 GHz, Octa Core Turbo Boost Upto 4.4 GHz",16 MB,NVIDIA,5th Gen,NVIDIA GeForce RTX 3050,GDDR6 4 GB,16 GB DDR4,,,512 GB,,3 Cell Battery,Office Home and Student 2021,"Laptop, battery, adapter, cables and user manuals",,,,,2,,,Upto 10 hours,,,,,,,,,,,,,,,,
313,Asus,"₹83,499",Ryzen 7 ,4800H,"Gaming, Performance",Netbook,Windows 11 Home (64-bit),354 x 259 x 20.6 mm,2.1 kg,1 year Onsite Warranty,FHD,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,"Brightness 250nits, NTSC % 45%, SRGB % 62.5%",No,Wi-Fi 6(802.11ax),v5.1,"1 x USB Type-C, 3 x USB 3.0",1 x HDMI 2.0b Port,,Yes,Yes,No,"Backlit Chiclet Keyboard 4-Zone RGB, Yes",Yes,Yes,Built in Array Microphone,Dual Speakers,,No,AMD Ryzen 7 ,"4.2 Hz, Octa Core Turbo Boost Upto 4.2 GHz",8 MB,NVIDIA,4th Gen,NVIDIA GeForce RTX RTX 3050,GDDR6 4 GB,8 GB DDR4,,,512 GB,,4 Cell Battery,,"Laptop, Battery, AC Adapter",Li-ion Battery,,,,2,,,,,,,,,,,,,,,,,,,
314,Dell,"₹70,814",Ryzen 5 ,5600H,Gaming,Netbook,Windows 11 Home (64-bit),357 x 272 x 26.9 mm,2.57 kg,1 year Warranty,Full HD IPS Narrow 120Hz 250 nits 45%,No,15.6 inches,1920 x 1080 pixels,~ 141,No,,,Killer Wi-Fi 6 AX1650 (2x2),v5,"1 x USB 3.0, 2 x USB 2.0",1 x HDMI 2.0 Port,1x SD-card slot,Yes,Yes,Yes,"English International Orange, Yes",Yes,Yes,Yes,Yes,Nahimic 3D Audio,No,AMD Ryzen 5 ,"3.2 GHz, Hexa Core Turbo Boost Upto 4.2 GHz",16 MB,NVIDIA,5th Gen,NVIDIA GeForce RTX 3050,GDDR6 4 GB,16 GB DDR4,,,512 GB,,3 Cell Battery,Office Home and Student 2021,"Laptop, battery, adapter, cables and user manuals",,,,,2,,,Upto 10 hours,,,,,,,,,,,,,,,,
315,Asus,"₹1,07,990",Ryzen 7 ,5800HS,Gaming,Netbook,Windows 11 Home (64-bit),324 x 222 x 17.9 mm,1.6 kg,1 year Onsite Warranty,"WQHD, IPS-level",No,14 inches,2560 x 1440 pixels,~ 210,Yes,"Brightness 300, DCI-P3 % 100%",No,Wi-Fi 6(802.11ax),v5.1,"1 x USB Type-C, 2 x USB 3.0",1 x HDMI 2.0b Port,,Yes,Yes,No,"Backlit Chiclet Keyboard, Yes",Yes,Yes,Built-in Array Microphone,"2x 0.7W Tweeter, 2x 2.5W Speaker With Smart Amp Technology",,No,AMD Ryzen 7 ,"4.4 Hz, Octa Core Turbo Boost Upto 4.4 GHz",16 MB,NVIDIA,5th Gen,NVIDIA GeForce RTX GeForce RTX 3050,GDDR6 4 GB,16 GB DDR4,3200 MHz,,1 TB,,4 Cell Battery,,"Laptop, Power Adaptor, User Guide, Warranty Documents","76WHrs, 4-cell Li-ion",,Yes,,,,,,,180W AC Adapter,,,,,,,,,,,,,,
316,MSI,"₹1,67,990",Core i7,12700H,"Gaming, Performance",Netbook,Windows 11 Home (64-bit),359 x 259 x 26.9 mm,2.47 kg,2 years Warranty,QHD ,No,15.6 inches,2560 x 1440 pixels,~ 188,Yes,165Hz DCI-P3 100% typical,Yes,Intel Wi-Fi 6 AX201(2x2 ax),v5.2,"1 x USB Type-C, 2 x USB 3.0, 1 x USB 2.0",1 x HDMI Port,,Yes,Yes,Yes,Spectrum Backlight Keyboard,Yes,Yes,Yes,Built-in Dual Speakers,Realtek ALC233,No,Intel Core i7,"3 GHz, Octa Core Turbo Boost Upto 4.7 GHz",24 MB,NVIDIA,12th Gen,NVIDIA GeForce RTX 3070,GDDR6 8 GB,16 GB DDR4,,,1 TB,,4 Cell Battery,,"Laptop, battery, power adapter, user guide, Crosshair 15 Rainbow Six Extraction Edition Bundle Accessories",90 Whr,,,,,,,,,240 W Adapter,,,,,,,,,,,,,,
317,MSI,"₹1,55,000",Core i7,11800H,"Gaming, Performance",Netbook,Windows 10 Home Edition (64-bit),359 x 267 x 23 mm,2.38 kg,2 years Warranty,IPS,No,15.6 inches,1920 x 1080 pixels,~ 188,Yes,"Close to 100% sRGB, 240Hz panel",Available,Killer Wi-Fi 6E AX1675,v5.2,"1 x USB Type-C, 3 x USB 3.0",1 x HDMI 2.1 Port,,Yes,Yes,Yes,Per key RGB Steelseries Keyboard,,Yes,Built-in Microphone,Built-in Speakers,2 x 2W Speakers,No,Intel Core i7,"4.6 GHz, Octa Core Turbo Boost Upto 4.6 GHz",24 MB,NVIDIA,11th Gen,NVIDIA GeForce RTX 3070,GDDR6 8 GB,16 GB DDR4,,,1 TB,,4 Cell Battery,,"Laptop, Battery, Power Adapter, User Guide, Urban Raider Backpack",,,,,,NA,,,,230W Slim AC Adapter,,,,,,,,,,,,,,
318,Asus,"₹97,495",Ryzen 7 ,4800H,"Gaming, Performance",Netbook,Windows 10 Home (64-bit),,1.9 kg,1 year Onsite Warranty,IPS Level,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,"Full HD Display, 144 Hz",10/100/1000 Mbps,"Wi-Fi 6(802.11ax) Dual band (2*2), Yes",v5.2,"1 x USB Type-C, 3 x USB 3.0",1 x HDMI 2.0b Port,,Yes,Yes,No,"Backlit KB- 4 zone RGB, Yes",Yes,Yes,Built-in Array Microphone,Built-in Speaker,"Smart Amp Technology, 2x 4W speaker with Smart Amp Technology",No,AMD Ryzen 7 ,"2.9 GHz, Octa Core Turbo Boost Upto 4.2 GHz",8 MB,NVIDIA,4th Gen,NVIDIA GeForce RTX 3050,GDDR6 4 GB,16 GB DDR4,3200 MHz,Upto 32 GB,512 GB,,4 Cell Battery,"Windows 10 Home, Ms-Office Home & Student 2019","Laptop, Power Adaptor",1x HDMI 2.0b | 3x USB 3.2 Gen 1 Type-A | 1x USB 3.2 Gen 2 Type-C support DisplayPort,,,,2,,,Upto 5 hours,,,,,,,,,,,,,,,,
319,MSI,"₹1,23,500",Core i7,11800H ,Gaming,Netbook,Windows 10 (64-bit),358 x 267 x 23.4 mm,2.38 kg,1 year Warranty,,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,,,Yes,Yes,"2 x USB Type-C, 2 x USB 3.0",1 x HDMI Port,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,,No,Intel Core i7,"2.3 GHz, Octa Core Turbo Boost Upto 4.6 GHz",24 MB,NVIDIA ,11th Gen,NVIDIA GeForce RTX3060,6 GB,16 GB,,,1 TB,,4 Cell Battery,,"Main Unit, Charging Cable, Charging Adapter",,,,,,,,,,,,,,,,,,,,,,,,
320,Dell,"₹1,03,990",Core i7,11800H,"Gaming, Performance",Netbook,Windows 11 (64-bit),357 x 272 x 25 mm,2.4 kg,1 year Warranty,Full HD ,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,WVA AG 250 nits 120Hz Narrow Border Display,Available,Intel Wi-Fi 6 (2x2) Gig+ ,v5,"1 x USB 3.0, 2 x USB 2.0",1 x HDMI 2.0 Port,1 x SD-card Slot,Yes,Yes,Yes,"English International Orange, Yes",Yes,Yes,Built-in Microphone,Built-in Speakers,Nahimic 3D Audio,No,Intel Core i7,"1.9 GHz, Octa Core Turbo Boost Upto 4.6 GHz",24 MB,NVIDIA,11th Gen,NVIDIA GeForce RTX 3050Ti,GDDR6 4 GB,16 GB DDR4,2933 MHz,,512 GB,,3 Cell Battery,Microsoft Office Home & Student 2019,"Laptop, Battery, Adapter, Cables and User Manuals","Alienware Command Center, sRGB 45% Color Gamut, 25ms Response Time, Improved Power, Game Shift Technology, Game Ready Graphics",,,Kensington Lock Port,2,NA,,Upto 10 hours,,,,,,,,,,,,,,,,
321,Asus,"₹59,500",Core i5,10300H ,Gaming,Netbook,Windows 11 (64-bit),359 x 256 x 24.9 mm,2.3 kg,1 year Warranty,LED,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,144hz ,No,Yes,Yes,"1 x USB 3.0, 2 x USB 2.0",1 x HDMI Port,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,,No,Intel Core i5-10300H,"2.5 GHz, Quad Core Turbo Boost Upto 4.5 GHz",8 MB,NVIDIA ,10th Gen,NVIDIA GTX 1650,4 GB,8 GB,,,1 TB,,,,"Main Unit, Charging Cable, Charging Adapter",,,,,,,,,16:09,,,,,,,,,,,,,,,
322,Asus,"₹1,04,000",Ryzen 9 ,5900HX,Gaming,Netbook,Windows 11 Home (64-bit),317.4 x 228.5 x 17.9 mm,1.45 kg,1 year Onsite Warranty,2.8K OLED,No,14 inches,2880 x 1800 pixels,~ 243,No,"0.2ms Response Time, 90Hz Refresh Rate, 600nits Peak Brightness, 100% DCI-P3 Color Gamut",No,Wi-Fi 6(802.11ax),v5,"1 x USB Type-C, 1 x USB 3.0, 2 x USB 2.0",1 x HDMI 1.4 Port,1x Micro SD Card Reader,Yes,Yes,Yes,"Backlit Chiclet Keyboard, Yes",Yes,Yes,Built-in Array Microphones,Built-in Speaker,,No,AMD Ryzen 9 ,"3.3 GHz, Octa Core Turbo Boost Upto 4.6 GHz",16 MB,NVIDIA,5th Gen,NVIDIA GeForce RTX 3050 Ti,GDDR6 4 GB,8 GB DDR4,,,1 TB,,3 Cell Battery,MS Office Home & Student 2021,"Laptop, Power Adaptor, User Guide, Warranty Documents",63 WHrs Li-ion,,Yes,,,,,,16:10,120W AC Adapter,,,,,,,,,,,,,,
323,Asus,"₹95,960",Core i7,11600H,"Gaming, Performance",Netbook,Windows 10 Home,,,1 year Onsite Warranty,,No,17.3 inches,1920 x 1080 pixels,~ 127,Yes,,No,Yes,Yes,"1 x USB 3.0, 2 x USB 2.0",,,Yes,Yes,Yes,,,Yes,Yes,,,No,Intel Core i7,Hexa Core Turbo Boost Upto 4.6 GHz,18 MB,NVIDIA,11th Gen,NVIDIA GeForce RTX 3050,GDDR6 4 GB,16 GB DDR4,,,512 GB,,,,"Laptop, Adaptor, Manual",,,,,,,,Upto 3 hours,,,,,,,,,,,,,,,,
324,HP,"₹1,27,680",Ryzen 9 ,5900H,Gaming,Netbook,Windows 10 Home (64-bit),369 x 248 x 22.5 mm,2.23 kg,1 year Onsite Warranty,QHD,No,16.1 inches,2560 x 1440 pixels,~ 182,Yes,"165 Hz, 3 ms Response Time IPS, Micro-edge, Low Blue Light, Brightness: 300 nits",Integrated 10/100/1000 GbE LAN,Realtek Wi-Fi 6 (2x2),v5.2,"1 x USB Type-C, 3 x USB 2.0",1 x HDMI 2.1 Port,,Yes,Yes,Yes,"Full-size, 4-zone RGB backlit, mica silver keyboard and 26-Key Rollover Anti-Ghosting Key technology, Yes",Yes,Multi-touch Gesture Support,Built-in dual array digital microphones,Built-in Dual Speakers,"Audio by B&O, Dual speakers",No,AMD Ryzen 9 ,"3.3 GHz, Octa Core",16 MB,AMD,,AMD Radeon RX 6600M,GDDR6 8 GB,16 GB DDR4,,,1 TB,,6 Cell Battery,Microsoft Office Home & Student 2019,"Laptop, Power Adapter, User Guide, Warranty Documents",,,,,,,,,,,,,,,,,,,,,,,,
325,MSI,"₹74,499",Core i5,11400H ,"Gaming, Performance",Netbook,Windows 10 Home (64-bit),359 x 259 x 24.9 mm,2.25 kg,2 years Warranty,Full HD IPS Display,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,45% NTSC Color Gamut,Yes,"Intel Wi-Fi 6 AX201(2x2 ax), Intel Wi-Fi 6 AX201(2*2 ax)",v5.1,"1 x USB Type-C, 2 x USB 3.0, 1 x USB 2.0",1 x HDMI 2.0 Port,,Yes,Yes,Yes,Single backlight KB(Blue),Yes,Yes,Yes,2 x 2 W Speakers,Realtek ALC233,No,Intel Core i5,"2.2 GHz, Hexa Core Turbo Boost Upto 4.5 GHz",12 MB,NVIDIA,11th Gen,NVIDIA GeForce RTX RTX3050,GDDR6 4 GB,8 GB DDR4,3200 MHz,,512 GB,,3 Cell Battery,,"Laptop, Power Adapter, Manual",,,,,2,HM570,,Upto 4 hours,,,,,,,,,,,,,,,,
326,Asus,"₹1,04,600",Ryzen 7 ,6800H,Gaming,Netbook,Windows 11 Home (64-bit),35.4 x 25.9 x 20.6 mm,2.1 kg,1 year Onsite Warranty,"FHD, Value IPS-level",No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,"Brightness 250nits, NTSC % 45% SRGB % 62.5%",10/100/1000/2500 Mbps,Wi-Fi 6E(802.11ax),v5.2,"1 x USB Type-C, 2 x USB 3.0",1 x HDMI 2.0b Port,,Yes,Yes,No,"Backlit Chiclet Keyboard 4-Zone RGB, Yes",Yes,Yes,Built-in array microphone,Dual speakers,,No,AMD Ryzen 7 ,"4.7 Hz, Octa Core",20,NVIDIA,,NVIDIA GeForce RTX RTX 3050,GDDR6 4 GB,16 GB DDR5,,,1 TB,,4 Cell Battery,,"Laptop, Power Adaptor, User Guide, Warranty Documents","56WHrs, 4S1P, Li-ion battery",,,,2,,,,,200W AC Adapter,,,,,,,,,,,,,,
327,Asus,"₹1,00,990",Ryzen 7 ,6800H,Gaming,Netbook,Windows 11 Home (64-bit),354 x 259 x 20.6 mm,2.1 kg,1 year Onsite Warranty,"Full HD, Value IPS level",No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,"Refresh Rate: 144 Hz, Viewing Angle: 170 Degree, Brightness: 250 nits, 1:1000 Contrast, 45% NTSC, 62.5% SRGB, 47.34% Adobe, Adaptive-Sync Technology",10/100/1000/2500 Mbps,Wi-Fi 6E (802.11ax),v5.2,"1 x USB Type-C, 2 x USB 3.0",1 x HDMI 2.0b Port,,Yes,Yes,No,"Backlit Chiclet Keyboard 4-Zone RGB, Yes",Yes,Yes,Built-in array microphone,Built-in Dual Speakers,"AI Noise Canceling Technology, Dolby Atmos, Hi-Res Certification",No,AMD Ryzen 7 ,"4.7 GHz, Octa Core",20 MB,NVIDIA,,NVIDIA GeForce RTX 3050,GDDR6 4 GB,16 GB DDR5,4800 MHz,,1 TB,,4 Cell Battery,"Office Home and Student, McAfee","Laptop, Power Adaptor, Battery, Warranty Documents, User Guide","MUX Switch + Optimus, ROG Boost: 1550 MHz at 95 W (1500 MHz Boost Clock + 50 MHz OC, 80 W +15 W Dynamic Boost), Aura Sync, 56W Hrs, 4S1P, 4 cell Li-ion",,,,2,NA,,,16:09,200 W AC Adapter,,,,,,,,,,,,,,
328,Asus,"₹3,01,990",Core i9,12900H,Gaming,Netbook,Windows 11 Home (64-bit),354 x 259 x 27 mm,2.3 kg,1 year Onsite Warranty,WQHD ,No,15.6 inches,2560 x 1440 pixels,~ 170,Yes,"DCI-P3: 100%, Refresh Rate: 240Hz, Response Time: 3ms, IPS-level, Adaptive-Sync, Dolby Vision",No,802.11ax,Yes,4 x USB 3.0,,Yes,Yes,Yes,No,,Yes,Yes,Yes,Dolby Atmos-powered Speakers,,No,Intel Core i9,2.5 GHz Turbo Boost Upto 5 GHz,24 MB,NVIDIA,12th Gen,NVIDIA GeForce RTX 3080 Ti,GDDR6 16 GB,32 GB DDR5 ,4800 MHz,Upto 64 GB,1 TB,,4 Cell Battery,,,,,,,2,,,,16:09,10,,,,,,,,,,,,,,
329,Asus,"₹2,68,990",Core i9,12900H,Gaming,Netbook,Windows 11 Home (64-bit),354 x 259 x 27 mm,2.3 kg,1 year Onsite Warranty,WQHD ,No,15.6 inches,2560 x 1440 pixels,~ 170,Yes,"DCI-P3: 100%, Refresh Rate: 240Hz, Response Time: 3ms, IPS-level, Adaptive-Sync, Dolby Vision",No,802.11ax,Yes,4 x USB 3.0,,Yes,Yes,Yes,No,,Yes,Yes,Yes,Dolby Atmos-powered Speakers,,No,Intel Core i9,2.5 GHz Turbo Boost Upto 5 GHz,24 MB,NVIDIA,12th Gen,NVIDIA GeForce RTX 3070 Ti,GDDR6 8 GB,32 GB DDR5 ,4800 MHz,Upto 64 GB,2 TB,,4 Cell Battery,,,,,,,2,,,,16:09,10,,,,,,,,,,,,,,
330,Asus,"₹95,729",Ryzen 7 ,6800H,Gaming,Netbook,Windows 11 Home (64-bit),354 x 259 x 20.6 mm,2.1 kg,1 year Onsite Warranty,IPS-level,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,"Brightness 250nits, NTSC 45%, SRGB 62.5% ",10/100/1000/2500 Mbps,Wi-Fi 6E(802.11ax),v5.2,"1 x USB Type-C, 2 x USB 3.0",1 x HDMI 2.0b Port,,Yes,Yes,No,"Backlit Chiclet Keyboard 4-Zone RGB, Yes",Yes,Yes,Built-in Array Microphone,Dual Speakers,,No,AMD Ryzen 7 ,"4.7 Hz, Octa Core",20,NVIDIA,,NVIDIA GeForce RTX RTX 3050,GDDR6 4 GB,16 GB DDR5,,,512 GB,,4 Cell Battery,,"Laptop, Power Adaptor, User Guide, Warranty Documents","56WHrs, 4S1P, Li-ion battery",,,,2,,,,,,,,,,,,,,,,,,,
331,Acer,"₹1,39,990",Core i9,11900H,"Everyday Use, Gaming, Business, Performance",Netbook,Windows 11 Home (64-bit),363 x 255 x 22.9 mm,2.3 kg,1 year Warranty,IPS,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,"High-brightness (300 nits) Acer ComfyView LED-backlit TFT LCD, supporting 360 Hz, 3 ms Overdrive, sRGB 100%",Killer Ethernet E2600,"Killer Wi-Fi 6 AX 1650i, 802.11 a/b/g/n+acR2+ax wireless LAN",v5.1,"1 x USB Type-C, 1 x USB 3.0",1 x HDMI Port,,Yes,Yes,Yes,"103- 104- 107-key FineTip RGB- with independent standard numeric keypad, Yes",Yes,Touchpad with Multi-touch Gesture Support,Dual built-in microphones,Built-in Dual Speakers,,No,Intel Core i9,"5.2 Hz, Octa Core Turbo Boost Upto 4.9 GHz",24 MB,NVIDIA,11th Gen,NVIDIA GeForce RTX 3060,GDDR6 6 GB,16 GB DDR4,3200 MHz,,1 TB,,4 Cell Battery,,"Laptop, Power Adaptor, User Guide, Warranty Documents","59 Wh, Li-ion battery",,,Kensington Lock Slot,2,,,,,,,,,,,,,,,,,,,
332,Acer,"₹35,990",Core i3,1115G4,"Everyday Use, Gaming, Business, Performance",Netbook,Windows 11 Home (64-bit),363.4 x 238.4 x 19.9 mm,1.7 kg,1 year Warranty,Full HD,No,15.6 inches,1920 x 1080 pixels,~ 141,No,Acer ComfyView LED-backlit TFT LCD,"Gigabit Ethernet, Wake-on-LAN Ready",802.11a/b/g/n/ac wireless LAN,v5,"2 x USB 3.0, 1 x USB 2.0",1 x HDMI Port,,Yes,Yes,Yes,100-/101-/104-key FineTip keyboard with independent numeric keypad,,Touchpad with Multi-touch Gesture Support,Built-in Dual Microphone,Built-in Dual Speakers,,No,Intel Core i3,"4.1 Hz, Dual Core Turbo Boost Upto 4.1 GHz",6 MB,Intel,11th Gen,Intel Integrated UHD Graphics,,8 GB DDR4,,,512 GB,,2 Cell Battery,,"Laptop, Power Adaptor, User Guide, Warranty Documents",36.7 Wh Li-ion battery pack,,,,,,,Upto 9 hours,16:09,,,,,,,,,,,,,,,
333,Dell,"₹1,06,990",Ryzen 7 ,5800H,Gaming,Netbook,Windows 11 Home (64-bit),272 x 357 x 25 mm,2.57 kg,1 year Warranty,Full HD ,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,Full HD WVA AG 300 nits 165Hz Narrow Border,Available,Intel Wi-Fi 6 2x2 (Gig+ ,v5,"1 x USB 3.0, 2 x USB 2.0",1 x HDMI 2.0 Port,1 x card reader,Yes,Yes,Yes,"English International Orange, Yes",Yes,Yes,Yes,Yes,Nahimic 3D Audio,No,AMD Ryzen 7 ,"3.2 GHz, Octa Core Turbo Boost Upto 4.4 GHz",16 MB,NVIDIA,5th Gen,NVIDIA GeForce RTX 3060,GDDR6 6 GB,16 GB DDR4,3200 MHz,Upto 16 GB,512 GB,,6 Cell Battery,Office Home and Student 2021,"Laptop, Battery, Adapter, Cables and User Manuals",,,,,2,,,Upto 10 hours,,,,,,,,,,,,,,,,
334,Lenovo,"₹1,42,990",Ryzen 7,5800H,Gaming,Netbook,Windows 11 Home (64-bit),,1.9 kg,1 year Warranty,IPS Screen,No,15.6 inches,2560 x 1440 pixels,~ 188,Yes,"WQHD Display, 300nits Brightness, Anti-glare, 100 Percent sRGB, Dolby Vision, Free-Sync, G-Sync, DC Dimmer, 165 Hz Refresh Rate",No,IEEE 802.11a/b/g/n/ac/ax,v5.1,"1 x USB Type-C, 2 x USB 3.0",,1 x 4-in-1 Card Reader,Yes,Yes,Yes,,Yes,Yes,Yes,Stereo Speakers,Harman,No,AMD Ryzen 7,"3.2 GHz, Octa Core Turbo Boost Upto 4.4 GHz",16 MB,NVIDIA,5th Gen,NVIDIA GeForce 3060 Max-Q,GDDR6 6 GB,16 GB DDR4,3200 MHz,,1 TB,,,,,,,Yes,,,,,,16:09,,,,,,,,,,,,,,,
335,HP,"₹93,000",Core i5,1135G7 ,"Everyday Use, Gaming, Business, Performance",Netbook,Windows 10 Pro (64-bit),306 x 208 x 15.9 mm,1.28 kg,1 year Warranty,LED,No,13.3 inches,1366 x 768 pixels,~ 118,Yes,,No,Yes,v5,"1 x USB Type-C, 2 x USB 3.0",1 x HDMI 1.4b Port,,Yes,Yes,Yes,Spill-resistant keyboard,,Multi-touch Gesture Support,Dual Array Microphone,Dual Stereo Speakers,,No,Intel Core i5,"2.4 GHz, Quad Core Turbo Boost Upto 4.2 GHz",8 MB,Intel ,11th Gen,Intel Iris Xe Graphics,,8 GB DDR4,,,512 GB,,,,"1 x Laptop, 1 x Adapter, 1 x User Instruction Book",,,Yes,,,,,Upto 8 hours,,,,,,,,,,,,,,,,
336,MSI,"₹1,37,990",Core i7,12700H,"Gaming, Performance",Netbook,Windows 11 Home (64-bit),359 x 259 x 23.9 mm,2.25 kg,2 years Warranty,QHD ,No,15.6 inches,2560 x 1440 pixels,~ 188,Yes,165Hz DCI-P3 100% typical,Yes,Intel Wi-Fi 6 AX201(2x2 ax),v5.2,"1 x USB Type-C, 2 x USB 3.0, 1 x USB 2.0",1 x HDMI Port,,Yes,Yes,Yes,RGB Gaming Keyboard,Yes,Yes,Yes,Built-in Dual Speakers,Realtek ALC233,No,Intel Core i7,"3 GHz, Octa Core Turbo Boost Upto 4.7 GHz",24 MB,NVIDIA,12th Gen,NVIDIA GeForce RTX 3060,GDDR6 6 GB,16 GB DDR4,,,1 TB,,3 Cell Battery,,"Laptop, battery, power adapter, user guide, Laptop Bag",53.5 Whr,,,,,,,,,240 W Adapter,,,,,,,,,,,,,,
